Rank,Team,Win,Draw,Loss,Goals,Points,WinHome,DrawHome,LossHome,GoalsHome,WinAway,DrawAway,LossAway,GoalsAway
1,Chelsea,30,3,5,85:33,93,17,0,2,55:17,13,3,3,30:16
2,Spurs,26,8,4,86:26,86,17,2,0,47:9,9,6,4,39:17
3,Man City,23,9,6,80:39,78,11,7,1,37:17,12,2,5,43:22
4,Liverpool,22,10,6,78:42,76,12,5,2,45:18,10,5,4,33:24
5,Arsenal,23,6,9,77:44,75,14,3,2,39:16,9,3,7,38:28
6,Man Utd,18,15,5,54:29,69,8,10,1,26:12,10,5,4,28:17
7,Everton,17,10,11,62:44,61,13,4,2,42:16,4,6,9,20:28
8,Bournemouth,12,10,16,55:67,46,9,4,6,35:29,3,6,10,20:38
9,Southampton,12,10,16,41:48,46,6,6,7,17:21,6,4,9,24:27
10,West Brom,12,9,17,43:51,45,9,2,8,27:22,3,7,9,16:29
11,West Ham,12,9,17,47:64,45,7,4,8,19:31,5,5,9,28:33
12,Leicester,12,8,18,48:63,44,10,4,5,31:25,2,4,13,17:38
13,Stoke,11,11,16,41:56,44,7,6,6,24:24,4,5,10,17:32
14,Crystal Palace,12,5,21,50:63,41,6,2,11,24:25,6,3,10,26:38
15,Swansea,12,5,21,45:70,41,8,3,8,27:34,4,2,13,18:36
16,Burnley,11,7,20,39:55,40,10,3,6,26:20,1,4,14,13:35
17,Watford,11,7,20,40:68,40,8,4,7,25:29,3,3,13,15:39
18,Hull,9,7,22,37:80,34,8,4,7,28:35,1,3,15,9:45
19,Middlesbrough,5,13,20,27:53,28,4,6,9,17:23,1,7,11,10:30
20,Sunderland,6,6,26,29:69,24,3,5,11,16:34,3,1,15,13:35
