Rank,Team,Win,Draw,Loss,Goals,Points,WinHome,DrawHome,LossHome,GoalsHome,WinAway,DrawAway,LossAway,GoalsAway
1,Man City,32,4,2,106:27,100,16,2,1,61:14,16,2,1,45:13
2,Man Utd,25,6,7,68:28,81,15,2,2,38:9,10,4,5,30:19
3,Spurs,23,8,7,74:36,77,13,4,2,40:16,10,4,5,34:20
4,Liverpool,21,12,5,84:38,75,12,7,0,45:10,9,5,5,39:28
5,Chelsea,21,7,10,62:38,70,11,4,4,30:16,10,3,6,32:22
6,Arsenal,19,6,13,74:51,63,15,2,2,54:20,4,4,11,20:31
7,Burnley,14,12,12,36:39,54,7,5,7,16:17,7,7,5,20:22
8,Everton,13,10,15,44:58,49,10,4,5,28:22,3,6,10,16:36
9,Leicester,12,11,15,56:60,47,7,6,6,25:22,5,5,9,31:38
10,Crystal Palace,11,11,16,45:55,44,7,5,7,29:27,4,6,9,16:28
11,Bournemouth,11,11,16,45:61,44,7,5,7,26:30,4,6,9,19:31
12,Newcastle,12,8,18,39:47,44,8,4,7,21:17,4,4,11,18:30
13,West Ham,10,12,16,48:68,42,7,6,6,24:26,3,6,10,24:42
14,Watford,11,8,19,44:64,41,7,6,6,27:31,4,2,13,17:33
15,Brighton,9,13,16,34:54,40,7,8,4,24:25,2,5,12,10:29
16,Huddersfield,9,10,19,28:58,37,6,5,8,16:25,3,5,11,12:33
17,Southampton,7,15,16,37:56,36,4,7,8,20:26,3,8,8,17:30
18,Stoke,7,12,19,35:68,33,5,5,9,20:30,2,7,10,15:38
19,Swansea,8,9,21,28:56,33,6,3,10,17:24,2,6,11,11:32
20,West Brom,6,13,19,31:56,31,3,9,7,21:29,3,4,12,10:27
