Rank,Team,Win,Draw,Loss,Goals,Points,WinHome,DrawHome,LossHome,GoalsHome,WinAway,DrawAway,LossAway,GoalsAway
1,Liverpool,9,4,1,36:19,31,7,0,0,20:7,2,4,1,16:12
2,Leicester,9,0,5,26:17,27,3,0,4,9:10,6,0,1,17:7
3,Everton,8,2,4,25:19,26,4,1,2,15:11,4,1,2,10:8
4,Man Utd,8,2,3,28:21,26,2,2,3,9:12,6,0,0,19:9
5,Spurs,7,4,3,25:14,25,3,2,2,10:8,4,2,1,15:6
6,Chelsea,7,4,3,29:14,25,4,2,1,17:7,3,2,2,12:7
7,Southampton,7,3,4,25:19,24,4,0,3,13:9,3,3,1,12:10
8,Man City,6,5,2,19:12,23,3,2,1,12:7,3,3,1,7:5
9,Aston Villa,7,1,4,24:13,22,2,1,3,12:11,5,0,1,12:2
10,West Ham,6,3,5,21:19,21,3,2,2,10:8,3,1,3,11:11
11,Wolves,6,2,6,14:19,20,3,2,2,8:7,3,0,4,6:12
12,Newcastle,5,3,5,17:22,18,3,1,3,9:13,2,2,2,8:9
13,Crystal Palace,5,3,6,19:25,18,2,2,3,8:14,3,1,3,11:11
14,Leeds,5,2,7,24:30,17,2,2,3,12:13,3,0,4,12:17
15,Arsenal,4,2,8,12:18,14,2,1,4,6:10,2,1,4,6:8
16,Burnley,3,4,6,8:19,13,2,1,3,4:7,1,3,3,4:12
17,Brighton,2,6,6,16:22,12,0,4,3,7:11,2,2,3,9:11
18,Fulham,2,4,8,13:23,10,1,2,4,6:12,1,2,4,7:11
19,West Brom,1,4,9,10:29,7,1,2,4,5:15,0,2,5,5:14
20,Sheffield Utd,0,2,12,8:25,2,0,1,6,4:11,0,1,6,4:14
