Rank,Team,Win,Draw,Loss,Goals,Points,WinHome,DrawHome,LossHome,GoalsHome,WinAway,DrawAway,LossAway,GoalsAway
1,Chelsea,27,5,6,103:32,86,17,1,1,68:14,10,4,5,35:18
2,Man Utd,27,4,7,86:28,85,16,1,2,52:12,11,3,5,34:16
3,Arsenal,23,6,9,83:41,75,15,2,2,48:15,8,4,7,35:26
4,Spurs,21,7,10,67:41,70,14,2,3,40:12,7,5,7,27:29
5,Man City,18,13,7,73:45,67,12,4,3,41:20,6,9,4,32:25
6,Aston Villa,17,13,8,52:39,64,8,8,3,29:16,9,5,5,23:23
7,Liverpool,18,9,11,61:35,63,13,3,3,43:15,5,6,8,18:20
8,Everton,16,13,9,60:49,61,11,6,2,35:21,5,7,7,25:28
9,Blackburn,13,11,14,41:55,50,10,6,3,28:18,3,5,11,13:37
10,Birmingham,13,11,14,38:47,50,8,9,2,19:13,5,2,12,19:34
11,Stoke,11,14,13,34:48,47,7,6,6,24:21,4,8,7,10:27
12,Fulham,12,10,16,39:46,46,11,3,5,27:15,1,7,11,12:31
13,Sunderland,11,11,16,48:56,44,9,7,3,32:19,2,4,13,16:37
14,Bolton,10,9,19,42:67,39,6,6,7,26:31,4,3,12,16:36
15,Wolves,9,11,18,32:56,38,5,6,8,13:22,4,5,10,19:34
16,Wigan,9,9,20,37:79,36,6,7,6,19:24,3,2,14,18:55
17,West Ham,8,11,19,47:66,35,7,5,7,30:29,1,6,12,17:37
18,Hull,6,12,20,34:75,30,6,6,7,22:29,0,6,13,12:46
19,Burnley,8,6,24,42:82,30,7,5,7,25:30,1,1,17,17:52
20,Portsmouth,7,7,24,34:66,28,5,3,11,24:32,2,4,13,10:34
