,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
0,2012-05-13,Sunday,Chelsea,2,1,Blackburn,Chelsea,Stamford Bridge,London
1,2012-05-13,Sunday,Everton,3,1,Newcastle,Everton,Goodison Park,Liverpool
2,2012-05-13,Sunday,Man City,3,2,QPR,Man City,Etihad Stadium,Manchester
3,2012-05-13,Sunday,Norwich,2,0,Aston Villa,Norwich,Carrow Road,Norwich
4,2012-05-13,Sunday,Stoke,2,2,Bolton,Draw,bet365 Stadium,Stoke
5,2012-05-13,Sunday,Sunderland,0,1,Man Utd,Man Utd,Stadium of Light,Sunderland
6,2012-05-13,Sunday,Swansea,1,0,Liverpool,Swansea,Liberty Stadium,Swansea
7,2012-05-13,Sunday,Spurs,2,0,Fulham,Spurs,White Hart Lane,London
8,2012-05-13,Sunday,West Brom,2,3,Arsenal,Arsenal,The Hawthorns,West Bromwich
9,2012-05-13,Sunday,Wigan,3,2,Wolves,Wigan,DW Stadium,Wigan
10,2012-05-09,Wednesday,Liverpool,4,1,Chelsea,Liverpool,Anfield,Liverpool
11,2012-05-08,Tuesday,Blackburn,0,1,Wigan,Wigan,Ewood Park,Blackburn
12,2012-05-06,Sunday,Newcastle,0,2,Man City,Man City,St James' Park,Newcastle
13,2012-05-06,Sunday,Aston Villa,1,1,Spurs,Draw,Villa Park,Birmingham
14,2012-05-06,Sunday,Bolton,2,2,West Brom,Draw,University of Bolton Stadium,Bolton
15,2012-05-06,Sunday,Fulham,2,1,Sunderland,Fulham,Craven Cottage,London
16,2012-05-06,Sunday,QPR,1,0,Stoke,QPR,Kiyan Prince Foundation Stadium,London
17,2012-05-06,Sunday,Wolves,0,0,Everton,Draw,Molineux Stadium,Wolverhampton
18,2012-05-06,Sunday,Man Utd,2,0,Swansea,Man Utd,Old Trafford,Manchester
19,2012-05-05,Saturday,Arsenal,3,3,Norwich,Draw,Emirates Stadium,London
20,2012-05-03,Thursday,Chelsea,0,2,Newcastle,Newcastle,Stamford Bridge,London
21,2012-05-03,Thursday,Bolton,1,4,Spurs,Spurs,University of Bolton Stadium,Bolton
22,2012-05-02,Wednesday,Liverpool,0,1,Fulham,Fulham,Anfield,Liverpool
23,2012-05-02,Wednesday,Stoke,1,1,Everton,Draw,bet365 Stadium,Stoke
24,2012-05-01,Tuesday,Man City,1,0,Man Utd,Man City,Etihad Stadium,Manchester
25,2012-04-29,Sunday,Norwich,0,3,Liverpool,Liverpool,Carrow Road,Norwich
26,2012-04-29,Sunday,Chelsea,6,1,QPR,Chelsea,Stamford Bridge,London
27,2012-04-29,Sunday,Spurs,2,0,Blackburn,Spurs,White Hart Lane,London
28,2012-04-28,Saturday,Everton,4,0,Fulham,Everton,Goodison Park,Liverpool
29,2012-04-28,Saturday,Stoke,1,1,Arsenal,Draw,bet365 Stadium,Stoke
30,2012-04-28,Saturday,Sunderland,2,2,Bolton,Draw,Stadium of Light,Sunderland
