,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
0,2015-05-24,Sunday,Arsenal,4,1,West Brom,Arsenal,Emirates Stadium,London
1,2015-05-24,Sunday,Aston Villa,0,1,Burnley,Burnley,Villa Park,Birmingham
2,2015-05-24,Sunday,Chelsea,3,1,Sunderland,Chelsea,Stamford Bridge,London
3,2015-05-24,Sunday,Crystal Palace,1,0,Swansea,Crystal Palace,Selhurst Park,London
4,2015-05-24,Sunday,Everton,0,1,Spurs,Spurs,Goodison Park,Liverpool
5,2015-05-24,Sunday,Hull,0,0,Man Utd,Draw,KCOM Stadium,Hull
6,2015-05-24,Sunday,Leicester,5,1,QPR,Leicester,King Power Stadium,Leicester
7,2015-05-24,Sunday,Man City,2,0,Southampton,Man City,Etihad Stadium,Manchester
8,2015-05-24,Sunday,Newcastle,2,0,West Ham,Newcastle,St. James' Park,Newcastle
9,2015-05-24,Sunday,Stoke,6,1,Liverpool,Stoke,bet365 Stadium,Stoke
10,2015-05-21,Thursday,Arsenal,0,0,Sunderland,Draw,Emirates Stadium,London
11,2015-05-19,Tuesday,West Brom,3,0,Chelsea,West Brom,The Hawthorns,West Bromwich
12,2015-05-17,Sunday,Liverpool,1,3,Crystal Palace,Crystal Palace,Anfield,Liverpool
13,2015-05-17,Sunday,Swansea,2,4,Man City,Man City,Liberty Stadium,Swansea
14,2015-05-17,Sunday,Man Utd,1,1,Arsenal,Draw,Old Trafford,Manchester
15,2015-05-16,Saturday,Southampton,6,1,Aston Villa,Southampton,St. Mary's Stadium,Southampton
16,2015-05-16,Saturday,Burnley,0,0,Stoke,Draw,Turf Moor,Burnley
17,2015-05-16,Saturday,QPR,2,1,Newcastle,QPR,Loftus Road,London
18,2015-05-16,Saturday,Sunderland,0,0,Leicester,Draw,Stadium of Light,Sunderland
19,2015-05-16,Saturday,Spurs,2,0,Hull,Spurs,White Hart Lane,London
20,2015-05-16,Saturday,West Ham,1,2,Everton,Everton,Boleyn Ground,London
21,2015-05-12,Tuesday,Arsenal,0,1,Swansea,Swansea,Emirates Stadium,London
22,2015-05-10,Sunday,Crystal Palace,1,2,Man Utd,Man Utd,Selhurst Park,London
23,2015-05-10,Sunday,Man City,6,0,QPR,Man City,Etihad Stadium,Manchester
24,2015-05-10,Sunday,Chelsea,1,1,Liverpool,Draw,Stamford Bridge,London
25,2015-05-09,Saturday,Everton,0,2,Sunderland,Sunderland,Goodison Park,Liverpool
26,2015-05-09,Saturday,Aston Villa,1,0,West Ham,Aston Villa,Villa Park,Birmingham
27,2015-05-09,Saturday,Hull,0,1,Burnley,Burnley,KCOM Stadium,Hull
28,2015-05-09,Saturday,Leicester,2,0,Southampton,Leicester,King Power Stadium,Leicester
29,2015-05-09,Saturday,Newcastle,1,1,West Brom,Draw,St. James' Park,Newcastle
30,2015-05-09,Saturday,Stoke,3,0,Spurs,Stoke,bet365 Stadium,Stoke
31,2015-05-05,Tuesday,Hull,1,3,Arsenal,Arsenal,KCOM Stadium,Hull
32,2015-05-03,Sunday,Man Utd,0,1,West Brom,West Brom,Old Trafford,Manchester
33,2015-05-03,Sunday,Chelsea,1,0,Crystal Palace,Chelsea,Stamford Bridge,London
34,2015-05-03,Sunday,Spurs,0,1,Man City,Man City,White Hart Lane,London
35,2015-05-02,Saturday,Aston Villa,3,2,Everton,Aston Villa,Villa Park,Birmingham
36,2015-05-02,Saturday,Liverpool,2,1,QPR,Liverpool,Anfield,Liverpool
37,2015-05-02,Saturday,Sunderland,2,1,Southampton,Sunderland,Stadium of Light,Sunderland
38,2015-05-02,Saturday,Swansea,2,0,Stoke,Swansea,Liberty Stadium,Swansea
39,2015-05-02,Saturday,West Ham,1,0,Burnley,West Ham,Boleyn Ground,London
40,2015-05-02,Saturday,Leicester,3,0,Newcastle,Leicester,King Power Stadium,Leicester
41,2015-04-30,Thursday,Leicester,1,3,Chelsea,Chelsea,King Power Stadium,Leicester
42,2015-04-29,Wednesday,Hull,1,0,Liverpool,Hull,KCOM Stadium,Hull
43,2015-04-26,Sunday,Man City,3,2,Aston Villa,Man City,Etihad Stadium,Manchester
44,2015-04-26,Sunday,Everton,3,0,Man Utd,Everton,Goodison Park,Liverpool
45,2015-04-26,Sunday,Arsenal,0,0,Chelsea,Draw,Emirates Stadium,London
46,2015-04-25,Saturday,Southampton,2,2,Spurs,Draw,St. Mary's Stadium,Southampton
47,2015-04-25,Saturday,Burnley,0,1,Leicester,Leicester,Turf Moor,Burnley
48,2015-04-25,Saturday,Crystal Palace,0,2,Hull,Hull,Selhurst Park,London
49,2015-04-25,Saturday,Newcastle,2,3,Swansea,Swansea,St. James' Park,Newcastle
50,2015-04-25,Saturday,QPR,0,0,West Ham,Draw,Loftus Road,London
51,2015-04-25,Saturday,Stoke,1,1,Sunderland,Draw,bet365 Stadium,Stoke
52,2015-04-25,Saturday,West Brom,0,0,Liverpool,Draw,The Hawthorns,West Bromwich
53,2015-04-19,Sunday,Chelsea,1,0,Man Utd,Chelsea,Stamford Bridge,London
54,2015-04-19,Sunday,Man City,2,0,West Ham,Man City,Etihad Stadium,Manchester
55,2015-04-19,Sunday,Newcastle,1,3,Spurs,Spurs,St. James' Park,Newcastle
56,2015-04-18,Saturday,Crystal Palace,0,2,West Brom,West Brom,Selhurst Park,London
57,2015-04-18,Saturday,Everton,1,0,Burnley,Everton,Goodison Park,Liverpool
58,2015-04-18,Saturday,Leicester,2,0,Swansea,Leicester,King Power Stadium,Leicester
59,2015-04-18,Saturday,Stoke,2,1,Southampton,Stoke,bet365 Stadium,Stoke
60,2015-04-14,Tuesday,Liverpool,2,0,Newcastle,Liverpool,Anfield,Liverpool
61,2015-04-12,Sunday,Burnley,0,1,Arsenal,Arsenal,Turf Moor,Burnley
62,2015-04-12,Sunday,QPR,0,1,Chelsea,Chelsea,Loftus Road,London
63,2015-04-12,Sunday,Man Utd,4,2,Man City,Man Utd,Old Trafford,Manchester
64,2015-04-11,Saturday,Swansea,1,1,Everton,Draw,Liberty Stadium,Swansea
65,2015-04-11,Saturday,Southampton,2,0,Hull,Southampton,St. Mary's Stadium,Southampton
66,2015-04-11,Saturday,Sunderland,1,4,Crystal Palace,Crystal Palace,Stadium of Light,Sunderland
67,2015-04-11,Saturday,Spurs,0,1,Aston Villa,Aston Villa,White Hart Lane,London
68,2015-04-11,Saturday,West Brom,2,3,Leicester,Leicester,The Hawthorns,West Bromwich
69,2015-04-11,Saturday,West Ham,1,1,Stoke,Draw,Boleyn Ground,London
70,2015-04-08,Wednesday,Aston Villa,3,3,QPR,Draw,Villa Park,Birmingham
71,2015-04-07,Tuesday,Crystal Palace,2,1,Man City,Crystal Palace,Selhurst Park,London
72,2015-04-05,Sunday,Chelsea,2,1,Stoke,Chelsea,Stamford Bridge,London
73,2015-04-05,Sunday,Burnley,0,0,Spurs,Draw,Turf Moor,Burnley
74,2015-04-05,Sunday,Sunderland,1,0,Newcastle,Sunderland,Stadium of Light,Sunderland
75,2015-04-04,Saturday,Everton,1,0,Southampton,Everton,Goodison Park,Liverpool
