,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
0,2017-05-21,Sunday,Arsenal,3,1,Everton,Arsenal,Emirates Stadium,London
1,2017-05-21,Sunday,Burnley,1,2,West Ham,West Ham,Turf Moor,Burnley
2,2017-05-21,Sunday,Chelsea,5,1,Sunderland,Chelsea,Stamford Bridge,London
3,2017-05-21,Sunday,Hull,1,7,Spurs,Spurs,KCOM Stadium,Hull
4,2017-05-21,Sunday,Leicester,1,1,Bournemouth,Draw,King Power Stadium,Leicester
5,2017-05-21,Sunday,Liverpool,3,0,Middlesbrough,Liverpool,Anfield,Liverpool
6,2017-05-21,Sunday,Man Utd,2,0,Crystal Palace,Man Utd,Old Trafford,Manchester
7,2017-05-21,Sunday,Southampton,0,1,Stoke,Stoke,St. Mary's Stadium,Southampton
8,2017-05-21,Sunday,Swansea,2,1,West Brom,Swansea,Liberty Stadium,Swansea
9,2017-05-21,Sunday,Watford,0,5,Man City,Man City,Vicarage Road,Watford
10,2017-05-19,Friday,Leicester,1,6,Spurs,Spurs,King Power Stadium,Leicester
11,2017-05-18,Thursday,Southampton,0,0,Man Utd,Draw,St. Mary's Stadium,Southampton
12,2017-05-17,Wednesday,Arsenal,2,0,Sunderland,Arsenal,Emirates Stadium,London
13,2017-05-17,Wednesday,Man City,3,1,West Brom,Man City,Etihad Stadium,Manchester
14,2017-05-16,Tuesday,Chelsea,4,3,Watford,Chelsea,Stamford Bridge,London
15,2017-05-14,Sunday,Stoke,1,4,Arsenal,Arsenal,bet365 Stadium,Stoke
16,2017-05-14,Sunday,Crystal Palace,4,0,Hull,Crystal Palace,Selhurst Park,London
17,2017-05-14,Sunday,West Ham,0,4,Liverpool,Liverpool,London Stadium,London
18,2017-05-14,Sunday,Spurs,2,1,Man Utd,Spurs,White Hart Lane,London
19,2017-05-13,Saturday,Everton,1,0,Watford,Everton,Goodison Park,Liverpool
20,2017-05-13,Saturday,West Brom,0,1,Chelsea,Chelsea,The Hawthorns,West Bromwich
21,2017-05-13,Saturday,Man City,2,1,Leicester,Man City,Etihad Stadium,Manchester
22,2017-05-13,Saturday,Bournemouth,2,1,Burnley,Bournemouth,Vitality Stadium,Bournemouth
23,2017-05-13,Saturday,Middlesbrough,1,2,Southampton,Southampton,Riverside Stadium,Middlesbrough
24,2017-05-13,Saturday,Sunderland,0,2,Swansea,Swansea,Stadium of Light,Sunderland
25,2017-05-11,Thursday,Southampton,0,2,Arsenal,Arsenal,St. Mary's Stadium,Southampton
26,2017-05-09,Tuesday,Chelsea,3,0,Middlesbrough,Chelsea,Stamford Bridge,London
27,2017-05-07,Sunday,Swansea,1,0,Everton,Swansea,Liberty Stadium,Swansea
28,2017-05-07,Sunday,Liverpool,0,0,Southampton,Draw,Anfield,Liverpool
29,2017-05-07,Sunday,Arsenal,2,0,Man Utd,Arsenal,Emirates Stadium,London
30,2017-05-06,Saturday,West Ham,1,0,Spurs,West Ham,London Stadium,London
31,2017-05-06,Saturday,Man City,5,0,Crystal Palace,Man City,Etihad Stadium,Manchester
32,2017-05-06,Saturday,Bournemouth,2,2,Stoke,Draw,Vitality Stadium,Bournemouth
33,2017-05-06,Saturday,Burnley,2,2,West Brom,Draw,Turf Moor,Burnley
34,2017-05-06,Saturday,Hull,0,2,Sunderland,Sunderland,KCOM Stadium,Hull
35,2017-05-06,Saturday,Leicester,3,0,Watford,Leicester,King Power Stadium,Leicester
36,2017-05-02,Tuesday,Watford,0,1,Liverpool,Liverpool,Vicarage Road,Watford
37,2017-04-30,Sunday,Everton,0,3,Chelsea,Chelsea,Goodison Park,Liverpool
38,2017-04-30,Sunday,Middlesbrough,2,2,Man City,Draw,Riverside Stadium,Middlesbrough
39,2017-04-30,Sunday,Spurs,2,0,Arsenal,Spurs,White Hart Lane,London
40,2017-04-30,Sunday,Crystal Palace,0,2,Burnley,Burnley,Selhurst Park,London
41,2017-04-30,Sunday,Man Utd,1,1,Swansea,Draw,Old Trafford,Manchester
42,2017-04-29,Saturday,Southampton,0,0,Hull,Draw,St. Mary's Stadium,Southampton
43,2017-04-29,Saturday,Stoke,0,0,West Ham,Draw,bet365 Stadium,Stoke
44,2017-04-29,Saturday,Sunderland,0,1,Bournemouth,Bournemouth,Stadium of Light,Sunderland
45,2017-04-29,Saturday,West Brom,0,1,Leicester,Leicester,The Hawthorns,West Bromwich
46,2017-04-28,Friday,Man City,0,0,Man Utd,Draw,Etihad Stadium,Manchester
47,2017-04-27,Thursday,Arsenal,1,0,Leicester,Arsenal,Emirates Stadium,London
48,2017-04-27,Thursday,Middlesbrough,1,0,Sunderland,Middlesbrough,Riverside Stadium,Middlesbrough
49,2017-04-27,Thursday,Crystal Palace,0,1,Spurs,Spurs,Selhurst Park,London
50,2017-04-26,Wednesday,Chelsea,4,2,Southampton,Chelsea,Stamford Bridge,London
51,2017-04-23,Sunday,Burnley,0,2,Man Utd,Man Utd,Turf Moor,Burnley
52,2017-04-23,Sunday,Liverpool,1,2,Crystal Palace,Crystal Palace,Anfield,Liverpool
53,2017-04-22,Saturday,Bournemouth,4,0,Middlesbrough,Bournemouth,Vitality Stadium,Bournemouth
54,2017-04-22,Saturday,Hull,2,0,Watford,Hull,KCOM Stadium,Hull
55,2017-04-22,Saturday,Swansea,2,0,Stoke,Swansea,Liberty Stadium,Swansea
56,2017-04-22,Saturday,West Ham,0,0,Everton,Draw,London Stadium,London
57,2017-04-18,Tuesday,Middlesbrough,1,2,Arsenal,Arsenal,Riverside Stadium,Middlesbrough
58,2017-04-16,Sunday,Southampton,0,3,Man City,Man City,St. Mary's Stadium,Southampton
59,2017-04-16,Sunday,West Brom,0,1,Liverpool,Liverpool,The Hawthorns,West Bromwich
60,2017-04-16,Sunday,Man Utd,2,0,Chelsea,Man Utd,Old Trafford,Manchester
