,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
0,2011-05-22,Sunday,Aston Villa,1,0,Liverpool,Aston Villa,Villa Park,Birmingham
1,2011-05-22,Sunday,Bolton,0,2,Man City,Man City,Macron Stadium,Bolton
2,2011-05-22,Sunday,Everton,1,0,Chelsea,Everton,Goodison Park,Liverpool
3,2011-05-22,Sunday,Fulham,2,2,Arsenal,Draw,Craven Cottage,London
4,2011-05-22,Sunday,Man Utd,4,2,Blackpool,Man Utd,Old Trafford,Manchester
5,2011-05-22,Sunday,Newcastle,3,3,West Brom,Draw,Sports Direct Arena,Newcastle
6,2011-05-22,Sunday,Stoke,0,1,Wigan,Wigan,Britannia Stadium,Stoke
7,2011-05-22,Sunday,Spurs,2,1,Birmingham,Spurs,White Hart Lane,London
8,2011-05-22,Sunday,West Ham,0,3,Sunderland,Sunderland,Boleyn Ground,London
9,2011-05-22,Sunday,Wolves,2,3,Blackburn,Blackburn,Molineux Stadium,Wolverhampton
10,2011-05-18,Wednesday,Man City,3,0,Stoke,Man City,Etihad Stadium,Manchester
11,2011-05-15,Sunday,Chelsea,2,2,Newcastle,Draw,Stamford Bridge,London
12,2011-05-15,Sunday,Arsenal,1,2,Aston Villa,Aston Villa,Emirates Stadium,London
13,2011-05-15,Sunday,Birmingham,0,2,Fulham,Fulham,St Andrews,Birmingham
14,2011-05-15,Sunday,Liverpool,0,2,Spurs,Spurs,Anfield,Liverpool
15,2011-05-15,Sunday,Wigan,3,2,West Ham,Wigan,DW Stadium,Wigan
16,2011-05-14,Saturday,Blackburn,1,1,Man Utd,Draw,Ewood Park,Blackburn
17,2011-05-14,Saturday,Blackpool,4,3,Bolton,Blackpool,Bloomfield Road,Blackpool
18,2011-05-14,Saturday,Sunderland,1,3,Wolves,Wolves,Stadium of Light,Sunderland
19,2011-05-14,Saturday,West Brom,1,0,Everton,West Brom,The Hawthorns,West Bromwich
20,2011-05-11,Wednesday,Man City,1,0,Spurs,Man City,Etihad Stadium,Manchester
21,2011-05-10,Tuesday,Fulham,2,5,Liverpool,Liverpool,Craven Cottage,London
22,2011-05-08,Sunday,Spurs,1,1,Blackpool,Draw,White Hart Lane,London
23,2011-05-08,Sunday,Wolves,3,1,West Brom,Wolves,Molineux Stadium,Wolverhampton
24,2011-05-08,Sunday,Stoke,3,1,Arsenal,Stoke,Britannia Stadium,Stoke
25,2011-05-08,Sunday,Man Utd,2,1,Chelsea,Man Utd,Old Trafford,Manchester
26,2011-05-07,Saturday,Aston Villa,1,1,Wigan,Draw,Villa Park,Birmingham
