,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
211,2015-12-21,Monday,Swansea,0,0,West Ham,Draw,Liberty Stadium,Swansea
212,2015-12-20,Sunday,Newcastle,1,1,Aston Villa,Draw,St. James' Park,Newcastle
213,2015-12-20,Sunday,Watford,3,0,Liverpool,Watford,Vicarage Road,Watford
214,2015-12-19,Saturday,Chelsea,3,1,Sunderland,Chelsea,Stamford Bridge,London
215,2015-12-19,Saturday,Everton,2,3,Leicester,Leicester,Goodison Park,Liverpool
216,2015-12-19,Saturday,Man Utd,1,2,Norwich,Norwich,Old Trafford,Manchester
217,2015-12-19,Saturday,Southampton,0,2,Spurs,Spurs,St. Mary's Stadium,Southampton
218,2015-12-19,Saturday,Stoke,1,2,Crystal Palace,Crystal Palace,bet365 Stadium,Stoke
219,2015-12-19,Saturday,West Brom,1,2,Bournemouth,Bournemouth,The Hawthorns,West Bromwich
220,2015-12-15,Tuesday,Leicester,2,1,Chelsea,Leicester,King Power Stadium,Leicester
221,2015-12-14,Monday,Liverpool,2,2,West Brom,Draw,Anfield,Liverpool
222,2015-12-14,Monday,Spurs,1,2,Newcastle,Newcastle,White Hart Lane,London
223,2015-12-13,Sunday,Bournemouth,2,1,Man Utd,Bournemouth,Goldsands Stadium,Bournemouth
224,2015-12-13,Sunday,Aston Villa,0,2,Arsenal,Arsenal,Villa Park,Birmingham
225,2015-12-12,Saturday,Norwich,1,1,Everton,Draw,Carrow Road,Norwich
226,2015-12-12,Saturday,Crystal Palace,1,0,Southampton,Crystal Palace,Selhurst Park,London
227,2015-12-12,Saturday,Man City,2,1,Swansea,Man City,Etihad Stadium,Manchester
228,2015-12-12,Saturday,Sunderland,0,1,Watford,Watford,Stadium of Light,Sunderland
229,2015-12-12,Saturday,West Ham,0,0,Stoke,Draw,Boleyn Ground,London
230,2015-12-08,Tuesday,Everton,1,1,Crystal Palace,Draw,Goodison Park,Liverpool
231,2015-12-07,Monday,Newcastle,2,0,Liverpool,Newcastle,St. James' Park,Newcastle
232,2015-12-06,Sunday,Chelsea,0,1,Bournemouth,Bournemouth,Stamford Bridge,London
233,2015-12-05,Saturday,Stoke,2,0,Man City,Stoke,bet365 Stadium,Stoke
234,2015-12-05,Saturday,Arsenal,3,1,Sunderland,Arsenal,Emirates Stadium,London
235,2015-12-05,Saturday,Man Utd,0,0,West Ham,Draw,Old Trafford,Manchester
