,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
0,2013-05-19,Sunday,Chelsea,2,1,Everton,Chelsea,Stamford Bridge,London
1,2013-05-19,Sunday,Liverpool,1,0,QPR,Liverpool,Anfield,Liverpool
2,2013-05-19,Sunday,Man City,2,3,Norwich,Norwich,Etihad Stadium,Manchester
3,2013-05-19,Sunday,Newcastle,0,1,Arsenal,Arsenal,St James' Park,Newcastle
4,2013-05-19,Sunday,Southampton,1,1,Stoke,Draw,The Friends Provident St Mary's Stadium,Southampton
5,2013-05-19,Sunday,Swansea,0,3,Fulham,Fulham,Liberty Stadium,Swansea
6,2013-05-19,Sunday,Spurs,1,0,Sunderland,Spurs,White Hart Lane,London
7,2013-05-19,Sunday,West Brom,5,5,Man Utd,Draw,The Hawthorns,West Bromwich
8,2013-05-19,Sunday,West Ham,4,2,Reading,West Ham,Boleyn Ground,London
9,2013-05-19,Sunday,Wigan,2,2,Aston Villa,Draw,DW Stadium,Wigan
10,2013-05-15,Wednesday,Arsenal,4,1,Wigan,Arsenal,Emirates Stadium,London
11,2013-05-15,Wednesday,Reading,0,2,Man City,Man City,Madejski Stadium,Reading
12,2013-05-12,Sunday,Stoke,1,2,Spurs,Spurs,bet365 Stadium,Stoke
13,2013-05-12,Sunday,Everton,2,0,West Ham,Everton,Goodison Park,Liverpool
14,2013-05-12,Sunday,Fulham,1,3,Liverpool,Liverpool,Craven Cottage,London
15,2013-05-12,Sunday,Norwich,4,0,West Brom,Norwich,Carrow Road,Norwich
16,2013-05-12,Sunday,QPR,1,2,Newcastle,Newcastle,Loftus Road,London
17,2013-05-12,Sunday,Sunderland,1,1,Southampton,Draw,Stadium of Light,Sunderland
18,2013-05-12,Sunday,Man Utd,2,1,Swansea,Man Utd,Old Trafford,Manchester
19,2013-05-11,Saturday,Aston Villa,1,2,Chelsea,Chelsea,Villa Park,Birmingham
20,2013-05-09,Thursday,Chelsea,2,2,Spurs,Draw,Stamford Bridge,London
21,2013-05-08,Wednesday,Man City,1,0,West Brom,Man City,Etihad Stadium,Manchester
22,2013-05-08,Wednesday,Wigan,2,3,Swansea,Swansea,DW Stadium,Wigan
23,2013-05-07,Tuesday,Sunderland,1,1,Stoke,Draw,Stadium of Light,Sunderland
24,2013-05-05,Sunday,QPR,0,1,Arsenal,Arsenal,Loftus Road,London
25,2013-05-05,Sunday,Liverpool,0,0,Everton,Draw,Anfield,Liverpool
26,2013-05-05,Sunday,Man Utd,0,1,Chelsea,Chelsea,Old Trafford,Manchester
27,2013-05-04,Saturday,Fulham,2,4,Reading,Reading,Craven Cottage,London
28,2013-05-04,Saturday,Norwich,1,2,Aston Villa,Aston Villa,Carrow Road,Norwich
29,2013-05-04,Saturday,Swansea,0,0,Man City,Draw,Liberty Stadium,Swansea
30,2013-05-04,Saturday,Spurs,1,0,Southampton,Spurs,White Hart Lane,London
31,2013-05-04,Saturday,West Brom,2,3,Wigan,Wigan,The Hawthorns,West Bromwich
32,2013-05-04,Saturday,West Ham,0,0,Newcastle,Draw,Boleyn Ground,London
33,2013-04-30,Tuesday,Aston Villa,6,1,Sunderland,Aston Villa,Villa Park,Birmingham
34,2013-04-28,Sunday,Newcastle,0,6,Liverpool,Liverpool,St James' Park,Newcastle
35,2013-04-28,Sunday,Reading,0,0,QPR,Draw,Madejski Stadium,Reading
36,2013-04-28,Sunday,Chelsea,2,0,Swansea,Chelsea,Stamford Bridge,London
37,2013-04-28,Sunday,Arsenal,1,1,Man Utd,Draw,Emirates Stadium,London
38,2013-04-27,Saturday,Everton,1,0,Fulham,Everton,Goodison Park,Liverpool
39,2013-04-27,Saturday,Southampton,0,3,West Brom,West Brom,The Friends Provident St Mary's Stadium,Southampton
40,2013-04-27,Saturday,Man City,2,1,West Ham,Man City,Etihad Stadium,Manchester
41,2013-04-27,Saturday,Stoke,1,0,Norwich,Stoke,bet365 Stadium,Stoke
42,2013-04-27,Saturday,Wigan,2,2,Spurs,Draw,DW Stadium,Wigan
43,2013-04-23,Tuesday,Man Utd,3,0,Aston Villa,Man Utd,Old Trafford,Manchester
44,2013-04-21,Sunday,Spurs,3,1,Man City,Spurs,White Hart Lane,London
45,2013-04-21,Sunday,Liverpool,2,2,Chelsea,Draw,Anfield,Liverpool
46,2013-04-20,Saturday,Fulham,0,1,Arsenal,Arsenal,Craven Cottage,London
47,2013-04-20,Saturday,Norwich,2,1,Reading,Norwich,Carrow Road,Norwich
48,2013-04-20,Saturday,QPR,0,2,Stoke,Stoke,Loftus Road,London
49,2013-04-20,Saturday,Sunderland,1,0,Everton,Sunderland,Stadium of Light,Sunderland
50,2013-04-20,Saturday,Swansea,0,0,Southampton,Draw,Liberty Stadium,Swansea
51,2013-04-20,Saturday,West Brom,1,1,Newcastle,Draw,The Hawthorns,West Bromwich
52,2013-04-20,Saturday,West Ham,2,0,Wigan,West Ham,Boleyn Ground,London
53,2013-04-18,Thursday,Man City,1,0,Wigan,Man City,Etihad Stadium,Manchester
