,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
0,2014-05-11,Sunday,Cardiff,1,2,Chelsea,Chelsea,Cardiff City Stadium,Cardiff
1,2014-05-11,Sunday,Fulham,2,2,Crystal Palace,Draw,Craven Cottage,London
2,2014-05-11,Sunday,Hull,0,2,Everton,Everton,KCOM Stadium,Hull
3,2014-05-11,Sunday,Liverpool,2,1,Newcastle,Liverpool,Anfield,Liverpool
4,2014-05-11,Sunday,Man City,2,0,West Ham,Man City,Etihad Stadium,Manchester
5,2014-05-11,Sunday,Norwich,0,2,Arsenal,Arsenal,Carrow Road,Norwich
6,2014-05-11,Sunday,Southampton,1,1,Man Utd,Draw,St. Mary's Stadium,Southampton
7,2014-05-11,Sunday,Sunderland,1,3,Swansea,Swansea,Stadium of Light,Sunderland
8,2014-05-11,Sunday,Spurs,3,0,Aston Villa,Spurs,White Hart Lane,London
9,2014-05-11,Sunday,West Brom,1,2,Stoke,Stoke,The Hawthorns,West Bromwich
10,2014-05-08,Thursday,Man City,4,0,Aston Villa,Man City,Etihad Stadium,Manchester
11,2014-05-08,Thursday,Sunderland,2,0,West Brom,Sunderland,Stadium of Light,Sunderland
12,2014-05-07,Wednesday,Man Utd,3,1,Hull,Man Utd,Old Trafford,Manchester
13,2014-05-06,Tuesday,Crystal Palace,3,3,Liverpool,Draw,Selhurst Park,London
14,2014-05-04,Sunday,Everton,2,3,Man City,Man City,Goodison Park,Liverpool
15,2014-05-04,Sunday,Arsenal,1,0,West Brom,Arsenal,Emirates Stadium,London
16,2014-05-04,Sunday,Chelsea,0,0,Norwich,Draw,Stamford Bridge,London
17,2014-05-03,Saturday,West Ham,2,0,Spurs,West Ham,Boleyn Ground,London
18,2014-05-03,Saturday,Aston Villa,3,1,Hull,Aston Villa,Villa Park,Birmingham
19,2014-05-03,Saturday,Man Utd,0,1,Sunderland,Sunderland,Old Trafford,Manchester
20,2014-05-03,Saturday,Newcastle,3,0,Cardiff,Newcastle,St. James' Park,Newcastle
21,2014-05-03,Saturday,Stoke,4,1,Fulham,Stoke,Britannia Stadium,Stoke
22,2014-05-03,Saturday,Swansea,0,1,Southampton,Southampton,Liberty Stadium,Swansea
23,2014-04-29,Tuesday,Arsenal,3,0,Newcastle,Arsenal,Emirates Stadium,London
24,2014-04-27,Sunday,Man Utd,4,0,Norwich,Man Utd,Old Trafford,Manchester
25,2014-04-27,Sunday,Sunderland,4,0,Cardiff,Sunderland,Stadium of Light,Sunderland
26,2014-04-27,Sunday,Liverpool,0,2,Chelsea,Chelsea,Anfield,Liverpool
27,2014-04-27,Sunday,Crystal Palace,0,2,Man City,Man City,Selhurst Park,London
28,2014-04-26,Saturday,Southampton,2,0,Everton,Southampton,St. Mary's Stadium,Southampton
29,2014-04-26,Saturday,Fulham,2,2,Hull,Draw,Craven Cottage,London
30,2014-04-26,Saturday,Stoke,0,1,Spurs,Spurs,Britannia Stadium,Stoke
31,2014-04-26,Saturday,Swansea,4,1,Aston Villa,Swansea,Liberty Stadium,Swansea
32,2014-04-26,Saturday,West Brom,1,0,West Ham,West Brom,The Hawthorns,West Bromwich
33,2014-04-22,Tuesday,Man City,3,1,West Brom,Man City,Etihad Stadium,Manchester
34,2014-04-20,Sunday,Chelsea,1,2,Sunderland,Sunderland,Stamford Bridge,London
