,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
0,2010-05-09,Sunday,Arsenal,4,0,Fulham,Arsenal,Emirates Stadium,London
1,2010-05-09,Sunday,Aston Villa,0,1,Blackburn,Blackburn,Villa Park,Birmingham
2,2010-05-09,Sunday,Bolton,2,1,Birmingham,Bolton,Macron Stadium,Bolton
3,2010-05-09,Sunday,Burnley,4,2,Spurs,Burnley,Turf Moor,Burnley
4,2010-05-09,Sunday,Chelsea,8,0,Wigan,Chelsea,Stamford Bridge,London
5,2010-05-09,Sunday,Everton,1,0,Portsmouth,Everton,Goodison Park,Liverpool
6,2010-05-09,Sunday,Hull,0,0,Liverpool,Draw,KCOM Stadium,Hull
7,2010-05-09,Sunday,Man Utd,4,0,Stoke,Man Utd,Old Trafford,Manchester
8,2010-05-09,Sunday,West Ham,1,1,Man City,Draw,Boleyn Ground,London
9,2010-05-09,Sunday,Wolves,2,1,Sunderland,Wolves,Molineux Stadium,Wolverhampton
10,2010-05-06,Thursday,Fulham,0,1,Stoke,Stoke,Craven Cottage,London
11,2010-05-06,Thursday,Man City,0,1,Spurs,Spurs,Etihad Stadium,Manchester
12,2010-05-04,Tuesday,Blackburn,2,1,Arsenal,Blackburn,Ewood Park,Blackburn
13,2010-05-03,Monday,Wigan,2,2,Hull,Draw,DW Stadium,Wigan
14,2010-05-02,Sunday,Liverpool,0,2,Chelsea,Chelsea,Anfield,Liverpool
15,2010-05-02,Sunday,Fulham,3,2,West Ham,Fulham,Craven Cottage,London
16,2010-05-02,Sunday,Sunderland,0,1,Man Utd,Man Utd,Stadium of Light,Sunderland
17,2010-05-01,Saturday,Birmingham,2,1,Burnley,Birmingham,St Andrews,Birmingham
18,2010-05-01,Saturday,Man City,3,1,Aston Villa,Man City,Etihad Stadium,Manchester
19,2010-05-01,Saturday,Portsmouth,3,1,Wolves,Portsmouth,Fratton Park,Portsmouth
20,2010-05-01,Saturday,Stoke,0,0,Everton,Draw,Britannia Stadium,Stoke
21,2010-05-01,Saturday,Spurs,1,0,Bolton,Spurs,White Hart Lane,London
22,2010-04-25,Sunday,Arsenal,0,0,Man City,Draw,Emirates Stadium,London
23,2010-04-25,Sunday,Aston Villa,1,0,Birmingham,Aston Villa,Villa Park,Birmingham
24,2010-04-25,Sunday,Burnley,0,4,Liverpool,Liverpool,Turf Moor,Burnley
25,2010-04-25,Sunday,Everton,2,1,Fulham,Everton,Goodison Park,Liverpool
26,2010-04-25,Sunday,Chelsea,7,0,Stoke,Chelsea,Stamford Bridge,London
27,2010-04-24,Saturday,Man Utd,3,1,Spurs,Man Utd,Old Trafford,Manchester
28,2010-04-24,Saturday,Bolton,2,2,Portsmouth,Draw,Macron Stadium,Bolton
29,2010-04-24,Saturday,Hull,0,1,Sunderland,Sunderland,KCOM Stadium,Hull
30,2010-04-24,Saturday,West Ham,3,2,Wigan,West Ham,Boleyn Ground,London
31,2010-04-24,Saturday,Wolves,1,1,Blackburn,Draw,Molineux Stadium,Wolverhampton
32,2010-04-22,Thursday,Hull,0,2,Aston Villa,Aston Villa,KCOM Stadium,Hull
33,2010-04-20,Tuesday,Liverpool,3,0,West Ham,Liverpool,Anfield,Liverpool
34,2010-04-18,Sunday,Spurs,2,1,Chelsea,Spurs,White Hart Lane,London
35,2010-04-18,Sunday,Wigan,3,2,Arsenal,Wigan,DW Stadium,Wigan
36,2010-04-18,Sunday,Portsmouth,1,2,Aston Villa,Aston Villa,Fratton Park,Portsmouth
37,2010-04-17,Saturday,Birmingham,0,0,Hull,Draw,St Andrews,Birmingham
38,2010-04-17,Saturday,Blackburn,2,3,Everton,Everton,Ewood Park,Blackburn
39,2010-04-17,Saturday,Fulham,0,0,Wolves,Draw,Craven Cottage,London
40,2010-04-17,Saturday,Man City,0,1,Man Utd,Man Utd,Etihad Stadium,Manchester
41,2010-04-17,Saturday,Stoke,1,2,Bolton,Bolton,Britannia Stadium,Stoke
42,2010-04-17,Saturday,Sunderland,2,1,Burnley,Sunderland,Stadium of Light,Sunderland
43,2010-04-15,Thursday,Aston Villa,2,2,Everton,Draw,Villa Park,Birmingham
44,2010-04-15,Thursday,Wigan,0,0,Portsmouth,Draw,DW Stadium,Wigan
45,2010-04-15,Thursday,Spurs,2,1,Arsenal,Spurs,White Hart Lane,London
46,2010-04-14,Wednesday,Chelsea,1,0,Bolton,Chelsea,Stamford Bridge,London
47,2010-04-11,Sunday,Wolves,0,0,Stoke,Draw,Molineux Stadium,Wolverhampton
48,2010-04-11,Sunday,Blackburn,0,0,Man Utd,Draw,Ewood Park,Blackburn
49,2010-04-11,Sunday,Liverpool,0,0,Fulham,Draw,Anfield,Liverpool
50,2010-04-11,Sunday,Man City,5,1,Birmingham,Man City,Etihad Stadium,Manchester
51,2010-04-10,Saturday,Hull,1,4,Burnley,Burnley,KCOM Stadium,Hull
52,2010-04-10,Saturday,West Ham,1,0,Sunderland,West Ham,Boleyn Ground,London
53,2010-04-04,Sunday,Burnley,1,6,Man City,Man City,Turf Moor,Burnley
54,2010-04-04,Sunday,Birmingham,1,1,Liverpool,Draw,St Andrews,Birmingham
