,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
0,2018-05-13,Sunday,Burnley,1,2,Bournemouth,Bournemouth,Turf Moor,Burnley
1,2018-05-13,Sunday,Crystal Palace,2,0,West Brom,Crystal Palace,Selhurst Park,London
2,2018-05-13,Sunday,Huddersfield,0,1,Arsenal,Arsenal,John Smith's Stadium,Huddersfield
3,2018-05-13,Sunday,Liverpool,4,0,Brighton,Liverpool,Anfield,Liverpool
4,2018-05-13,Sunday,Man Utd,1,0,Watford,Man Utd,Old Trafford,Manchester
5,2018-05-13,Sunday,Newcastle,3,0,Chelsea,Newcastle,St. James' Park,Newcastle
6,2018-05-13,Sunday,Southampton,0,1,Man City,Man City,St. Mary's Stadium,Southampton
7,2018-05-13,Sunday,Swansea,1,2,Stoke,Stoke,Liberty Stadium,Swansea
8,2018-05-13,Sunday,Spurs,5,4,Leicester,Spurs,Wembley Stadium,London
9,2018-05-13,Sunday,West Ham,3,1,Everton,West Ham,London Stadium,London
10,2018-05-11,Friday,West Ham,0,0,Man Utd,Draw,London Stadium,London
11,2018-05-10,Thursday,Chelsea,1,1,Huddersfield,Draw,Stamford Bridge,London
12,2018-05-10,Thursday,Leicester,3,1,Arsenal,Leicester,King Power Stadium,Leicester
13,2018-05-10,Thursday,Man City,3,1,Brighton,Man City,Etihad Stadium,Manchester
14,2018-05-10,Thursday,Spurs,1,0,Newcastle,Spurs,Wembley Stadium,London
15,2018-05-09,Wednesday,Swansea,0,1,Southampton,Southampton,Liberty Stadium,Swansea
16,2018-05-06,Sunday,Everton,1,1,Southampton,Draw,Goodison Park,Liverpool
17,2018-05-06,Sunday,Man City,0,0,Huddersfield,Draw,Etihad Stadium,Manchester
18,2018-05-06,Sunday,Arsenal,5,0,Burnley,Arsenal,Emirates Stadium,London
19,2018-05-06,Sunday,Chelsea,1,0,Liverpool,Chelsea,Stamford Bridge,London
20,2018-05-05,Saturday,Brighton,1,0,Man Utd,Brighton,Amex Stadium,Falmer
21,2018-05-05,Saturday,Stoke,1,2,Crystal Palace,Crystal Palace,bet365 Stadium,Stoke
22,2018-05-05,Saturday,Bournemouth,1,0,Swansea,Bournemouth,Vitality Stadium,Bournemouth
23,2018-05-05,Saturday,Leicester,0,2,West Ham,West Ham,King Power Stadium,Leicester
24,2018-05-05,Saturday,Watford,2,1,Newcastle,Watford,Vicarage Road,Watford
25,2018-05-05,Saturday,West Brom,1,0,Spurs,West Brom,The Hawthorns,West Bromwich
26,2018-05-01,Tuesday,Spurs,2,0,Watford,Spurs,Wembley Stadium,London
27,2018-04-29,Sunday,Swansea,0,1,Chelsea,Chelsea,Liberty Stadium,Swansea
28,2018-04-29,Sunday,West Ham,1,4,Man City,Man City,London Stadium,London
29,2018-04-29,Sunday,Man Utd,2,1,Arsenal,Man Utd,Old Trafford,Manchester
30,2018-04-28,Saturday,Liverpool,0,0,Stoke,Draw,Anfield,Liverpool
31,2018-04-28,Saturday,Burnley,0,0,Brighton,Draw,Turf Moor,Burnley
32,2018-04-28,Saturday,Crystal Palace,5,0,Leicester,Crystal Palace,Selhurst Park,London
33,2018-04-28,Saturday,Huddersfield,0,2,Everton,Everton,John Smith's Stadium,Huddersfield
34,2018-04-28,Saturday,Newcastle,0,1,West Brom,West Brom,St. James' Park,Newcastle
35,2018-04-28,Saturday,Southampton,2,1,Bournemouth,Southampton,St. Mary's Stadium,Southampton
36,2018-04-24,Tuesday,Everton,1,0,Newcastle,Everton,Goodison Park,Liverpool
37,2018-04-22,Sunday,Arsenal,4,1,West Ham,Arsenal,Emirates Stadium,London
38,2018-04-22,Sunday,Stoke,1,1,Burnley,Draw,bet365 Stadium,Stoke
39,2018-04-22,Sunday,Man City,5,0,Swansea,Man City,Etihad Stadium,Manchester
40,2018-04-21,Saturday,West Brom,2,2,Liverpool,Draw,The Hawthorns,West Bromwich
41,2018-04-21,Saturday,Watford,0,0,Crystal Palace,Draw,Vicarage Road,Watford
42,2018-04-20,Friday,Burnley,1,2,Chelsea,Chelsea,Turf Moor,Burnley
43,2018-04-20,Friday,Leicester,0,0,Southampton,Draw,King Power Stadium,Leicester
44,2018-04-19,Thursday,Bournemouth,0,2,Man Utd,Man Utd,Vitality Stadium,Bournemouth
45,2018-04-18,Wednesday,Brighton,1,1,Spurs,Draw,Amex Stadium,Falmer
46,2018-04-17,Tuesday,West Ham,1,1,Stoke,Draw,London Stadium,London
47,2018-04-15,Sunday,Liverpool,3,0,Bournemouth,Liverpool,Anfield,Liverpool
48,2018-04-15,Sunday,Spurs,1,3,Man City,Man City,Wembley Stadium,London
49,2018-04-15,Sunday,Newcastle,2,1,Arsenal,Newcastle,St. James' Park,Newcastle
50,2018-04-15,Sunday,Man Utd,0,1,West Brom,West Brom,Old Trafford,Manchester
51,2018-04-14,Saturday,Southampton,2,3,Chelsea,Chelsea,St. Mary's Stadium,Southampton
52,2018-04-14,Saturday,Burnley,2,1,Leicester,Burnley,Turf Moor,Burnley
53,2018-04-14,Saturday,Crystal Palace,3,2,Brighton,Crystal Palace,Selhurst Park,London
54,2018-04-14,Saturday,Huddersfield,1,0,Watford,Huddersfield,John Smith's Stadium,Huddersfield
55,2018-04-14,Saturday,Swansea,1,1,Everton,Draw,Liberty Stadium,Swansea
56,2018-04-08,Sunday,Man City,2,3,Man Utd,Man Utd,Etihad Stadium,Manchester
57,2018-04-08,Sunday,Arsenal,3,2,Southampton,Arsenal,Emirates Stadium,London
58,2018-04-08,Sunday,Chelsea,1,1,West Ham,Draw,Stamford Bridge,London
59,2018-04-07,Saturday,Everton,0,0,Liverpool,Draw,Goodison Park,Liverpool
60,2018-04-07,Saturday,Bournemouth,2,2,Crystal Palace,Draw,Vitality Stadium,Bournemouth
61,2018-04-07,Saturday,Brighton,1,1,Huddersfield,Draw,Amex Stadium,Falmer
62,2018-04-07,Saturday,Leicester,1,2,Newcastle,Newcastle,King Power Stadium,Leicester
